"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3803","Verify login with valid creds","Google Chrome","Fri Jul 11 16:32:33 IST 2025","passed","Fri Jul 11 16:32:37 IST 2025","","swaglabs.spec.js","",""
"","1424","Verify login valid username invalid password","Google Chrome","Fri Jul 11 16:32:39 IST 2025","failed","Fri Jul 11 16:32:40 IST 2025","","swaglabs.spec.js","",""
